treatment,outcome
0.0,12.73052814998288
0.0,7.533367093680297
1.0,4.394965561186103
0.0,9.002289656102894
0.0,10.519336305851118
0.0,7.690593940652814
1.0,5.4080963856469255
0.0,9.211362828981102
0.0,9.966208247719836
1.0,4.903788563267518
0.0,11.482617540974148
0.0,9.65206280658592
0.0,7.303332258987763
0.0,10.595572003107671
0.0,9.51003313930976
0.0,7.740290876495967
1.0,6.096010342204332
0.0,8.002218666189927
0.0,9.5642601204194
0.0,9.616523050428023
0.0,8.372896102776801
0.0,10.303410088046252
0.0,10.151142772003764
0.0,10.831699408250966
0.0,7.112575579220561
0.0,7.543910200717237
1.0,6.117546176700823
0.0,10.89305515646365
0.0,8.694830919361115
0.0,9.171771884291267
1.0,6.030842206538297
0.0,9.134837059943504
0.0,10.784057636130497
0.0,9.614479534989322
0.0,9.079918125478487
0.0,8.789325581749729
0.0,11.178347062709785
1.0,6.589783526632967
0.0,9.122609062338386
0.0,6.782309044203119
0.0,9.663235158573231
1.0,2.885436770152355
0.0,7.128076825085664
1.0,1.7670637450417264
0.0,7.589654371161632
1.0,5.340973662566123
0.0,8.604716754621542
0.0,7.109584755172531
1.0,7.840501887482034
0.0,11.822300030039552
0.0,6.473683589404853
0.0,7.580016965372401
0.0,9.801536261939278
0.0,7.661459879651859
0.0,9.64135817194889
0.0,11.11489733238526
0.0,8.707807526114589
0.0,10.84549593287827
0.0,9.612297656987783
0.0,8.939438593362496
1.0,5.952718182320431
0.0,10.456993089842491
0.0,7.73367363353172
1.0,5.302377641698995
1.0,2.727832994359793
0.0,9.89408888565737
0.0,8.786683262585058
0.0,9.476000307753008
0.0,8.485829715414493
0.0,7.675579983523693
0.0,9.29741341169024
1.0,5.051539145443738
0.0,8.579296636959604
0.0,9.718800403556727
0.0,9.303650295660058
0.0,10.070605013550646
1.0,3.82038392667451
0.0,7.691297718726274
0.0,9.573921927311783
0.0,9.084757538551331
0.0,6.532857928927406
1.0,2.8322701296266537
0.0,8.611310048238268
0.0,9.836294117793775
0.0,10.736696977431698
0.0,9.664742864690751
